order,timestamp_ms,video_id,flag_count,like_count,view_count,comment_count,title
1,0,ORIGINAL,0,0,0,0,[Unknown]
2,0.016281,26M-bU3wMBI,0,4170,114285,492,Allay Tag - Tutorial - New Mini-Game!
3,0.024336,jxQi7525h4o,0,611237,80971212,14519,I Built a SECRET Pool in My Room!
4,0.039785,P-j3S-Qvfo4,0,7120029,1190470280,78147,My Summer Holiday 155 Days Building 1M Dollars Water Slide Park into Underground Swimming Pool House
5,0.047679,9qmfPvrm6ew,0,908374,57877962,38187,I Built a SECRET Zoo In My House!
6,0.055354,G6HL0WyBDMM,0,13673,1497110,4682,Raising Tadpoles to Frogs (100 Day Evolution)
7,0.061755,MEi7WlKb4Js,0,185983,10124792,6339,Testing a Hamster's Survival Skills
8,0.068719,iQI2EMMeTUQ,1,32361,607665,2341,I adopted 100 LEGO DOGS...
9,0.083416,F_H0efp3rxo,0,5108,474977,366,Minecraft but it's REALISTIC
10,0.095849,Ork-6g6SaHA,0,6749,983329,302,The Most DANGEROUS Lego Pieces...
11,0.107461,tMaDJhwIMhQ,1,41719,2789207,2283,I built a LEGO Dinosaur SKYSCRAPER!
12,0.119623,ZUe_rGk3jIg,0,2611,260466,133,How to Get a Girlfriend in Lego - From Nerd to Chad
13,0.131957,qK3UbYLUwI4,1,75931,7002729,10291,I Built Minecraft’s SAFEST Dog House!
14,0.143398,qA6eYLXF2PI,3,431,39719,10,Dumbest Ways to Play with LEGO (Don’t Try This at Home!)
15,0.155521,lOKASgtr6kU,0,6132328,288957987,103163,I Saved 100 Dogs From Dying
16,0.167493,bSSZ3urVD7g,0,52000,2118687,1379,I Secretly Exploited on a Youtuber SMP!
17,0.178914,hcC422wvjZo,0,120491,12805232,6327,I Built a SECRET Zoo!
18,0.192049,Zb01RStdzEs,1,853157,45679183,18488,Candy Thieves vs Rigged Candy Bowl
19,0.20345,Xu4qqpjWbvI,0,588212,74277172,15393,I Built a SECRET Survival Bunker!
20,0.215272,BYpXGbQ0e_M,0,6359,557288,363,I Built LEGO Mario vs Sonic Mechs
21,0.227264,BAGCa4_uPfQ,0,2569,421551,45,I Became a RICH LEGO Tycoon from Being Homeless!
22,0.238856,vfMfv7z0fAM,1,4926,99153,781,I Became King Of Villager City..
23,0.249927,sKh7J3SGgCs,0,20650,2314055,1197,Can 1,000 LEGO Hitmen Beat 1 Minifigure?
24,0.261568,RcnLg8K7IAY,0,15783,1163001,1455,I made MORE CURSED Lego Dinosaurs...
25,0.274232,bI0CjBZE9KY,0,17701,1245038,1989,Best Fish Tank Wins $1,000!
26,0.286585,Rsxao9ptdmI,0,1564203,104583240,19914,Beating 5 Scam Arcade Games with Science
27,0.29981,wFf_VhPLuX0,1,79185,10678960,3099,I made HARDCORE Minecraft in LEGO...
28,0.33219,al2bw3ujPJk,0,40768,5986555,3677,LEGO, but you can EAT it...
29,0.346347,o17MwjcUTPo,0,8064,772754,324,I Built A Huge Lego Dino Civilization!
30,0.360764,WkWORopX26o,0,37636,3662270,2840,Solve The Impossible Puzzle, Win $1,000!
31,0.369039,4AzEHjyztac,11,99,3959,77,Playing Minecraft for the first time in 6 YEARS
32,0.376733,OTd9_98O-rI,1,151672,24083995,11726,$1,000 If You Can Break This Ball in 1 Minute!
33,0.382965,kbfwASvGsVg,0,52553,5815315,6807,Kids Who Beat The System!
34,0.392392,d5hHzLMSF14,0,27202,4592332,396,Puzzles That Look Hard But Are Actually Easy!
35,0.399065,tquErGz0f-o,1,50428,9487417,3792,World's Best Magic Tricks You MUST SEE...
36,0.408994,0eSOm5T8Wc0,0,82690,4151527,2714,World Records You MUST SEE...
37,0.420285,drmol0Qm8QI,3,39300,5778698,3050,Try Not To Laugh Challenge!
38,0.431185,cAAOVKZBR9E,2,82749,10249698,4688,I Learned Extreme Camouflage to Escape the Police!
39,0.442236,YlX2j5ylf2A,0,21168,2234599,3987,I Found a LIVE Fish Vending Machine...
40,0.452244,3bFb9-Z-m0c,0,75433,6875703,6280,World’s Most Satisfying Videos!
41,0.462844,4sxjmrkI_oI,0,43591,6198155,1750,Trying Stunts From Sonic The Hedgehog 3 In Real Life!
42,0.473514,AsBQa90E_O8,3,10991,1506077,972,World’s *CRAZIEST* Discoveries!
43,0.484224,XYONrlEQs_g,3,476864,24814088,18485,LAST TO LEAVE THE COFFIN WINS $10,000!
44,0.495024,gZRS143PFqI,0,159712,14523934,10567,If You Protect It, You Keep It!
45,0.505394,DZy91-UA3TI,0,26341,4447061,2136,World's FUNNIEST Design Fails!
46,0.516103,tMT1Mu1zX3s,2,53484,7345126,3267,I Made the WORST DECISIONS as a BABY
47,0.526944,fUSvNzzrXX8,0,113310,19366032,8379,Eating GUMMY vs REAL Food Challenge!
48,0.536962,Xu4qqpjWbvI,0,588212,74277172,15393,I Built a SECRET Survival Bunker!
49,0.547302,m6aOMjI6w1o,0,28246,2713034,3518,I Found Axolotls in a Hidden Tunnel!
